axis,value,success,reached_time_s,final_error_m,min_singular,clipped_updates,path_length_m
x,0.15,1,1.065,0.00017,0.07705,0,0.2920
x,0.20,1,0.885,0.00026,0.07705,0,0.2458
x,0.25,1,0.705,0.00036,0.07705,0,0.2039
x,0.30,1,0.525,0.00048,0.07705,0,0.1627
x,0.35,1,0.345,0.00059,0.07705,0,0.1291
x,0.40,1,0.345,0.00076,0.07329,0,0.1314
x,0.45,1,0.605,0.00100,0.02813,0,0.1523
x,0.50,0,,0.03968,0.00037,0,0.7833
x,0.55,0,,0.08900,0.00042,0,0.7869
x,0.60,0,,0.13959,0.00006,0,0.8028
y,-0.25,1,0.565,0.00070,0.07705,0,0.2792
y,-0.15,1,0.485,0.00052,0.07705,0,0.1946
y,-0.05,1,0.565,0.00043,0.07705,0,0.1375
y,0.00,1,0.585,0.00043,0.07705,0,0.1275
y,0.10,1,0.525,0.00048,0.07705,0,0.1627
y,0.20,1,0.545,0.00061,0.07705,0,0.2444
y,0.30,1,0.725,0.00085,0.05718,0,0.3320
z,0.05,1,0.545,0.00049,0.07705,0,0.2522
z,0.10,1,0.485,0.00046,0.07705,0,0.2148
z,0.15,1,0.505,0.00046,0.07705,0,0.1760
z,0.20,1,0.525,0.00048,0.07705,0,0.1627
z,0.25,1,0.505,0.00048,0.07705,0,0.1586
z,0.30,1,0.465,0.00047,0.07705,0,0.1704
z,0.35,1,0.425,0.00052,0.07705,0,0.1899
z,0.40,1,0.485,0.00060,0.05646,0,0.2161
