time_s,phase,ee_x,ee_y,ee_z,box_x,box_y,box_z,gripper_q,fixed_force_N,moving_force_N,fixed_n,moving_n,box_vel,drift_m,box_lift_m
59.542,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.71454,0.0,0.0,0,0,0.0,nan,-0.0
59.562,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.70623,0.0,0.0,0,0,0.0,nan,-0.0
59.582,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.69472,0.0,0.0,0,0,0.0,nan,-0.0
59.602,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.68552,0.0,0.0,0,0,0.0,nan,-0.0
59.622,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.67553,0.0,0.0,0,0,0.0,nan,-0.0
59.642,grasp,0.20756,0.01181,0.01346,0.21917,0.0242,0.01994,0.66445,0.0,0.0,0,0,0.0,nan,-0.0
59.662,grasp,0.20756,0.01183,0.01347,0.21917,0.02419,0.01992,0.65543,0.0,1.0703,0,1,0.00224,nan,-1e-05
59.682,grasp,0.2076,0.01196,0.01356,0.21916,0.0241,0.01983,0.64578,0.0,4.5112,0,1,0.00568,nan,-0.00011
59.702,grasp,0.20764,0.01204,0.01363,0.21915,0.02398,0.0197,0.63623,0.0,8.5255,0,1,0.00557,nan,-0.00024
59.722,grasp,0.2077,0.01216,0.01372,0.21914,0.02386,0.01959,0.62585,0.0,13.9592,0,1,0.00531,nan,-0.00034
59.742,grasp,0.20777,0.0123,0.01384,0.21914,0.02373,0.01951,0.61591,0.0,17.6832,0,1,0.00324,nan,-0.00042
59.762,grasp,0.20782,0.01234,0.01388,0.21914,0.02362,0.01946,0.60674,0.0,22.2059,0,1,0.00428,nan,-0.00048
59.782,grasp,0.20793,0.01268,0.01398,0.21912,0.02354,0.01939,0.59629,0.0,21.9892,0,1,0.00234,nan,-0.00054
59.802,grasp,0.20802,0.0131,0.01403,0.21909,0.02351,0.01934,0.58662,0.0,23.3143,0,1,0.00208,nan,-0.0006
59.822,grasp,0.20811,0.01356,0.01411,0.21906,0.02347,0.0193,0.57652,0.0,24.0124,0,1,0.00201,nan,-0.00064
59.842,grasp,0.20818,0.01402,0.01418,0.21902,0.02343,0.01926,0.56665,0.0,25.1744,0,1,0.00172,nan,-0.00068
59.862,grasp,0.20826,0.01448,0.01426,0.21899,0.02339,0.01922,0.55666,0.0,25.7797,0,1,0.00147,nan,-0.00072
59.882,grasp,0.20835,0.01493,0.01438,0.21895,0.02333,0.01921,0.54666,0.0,25.8724,0,1,0.00219,nan,-0.00073
59.902,grasp,0.20845,0.01537,0.01456,0.21892,0.02326,0.01921,0.53664,0.0,25.6965,0,1,0.00278,nan,-0.00073
59.922,grasp,0.20855,0.01581,0.01475,0.2189,0.02318,0.01923,0.52662,0.0,25.537,0,1,0.00282,nan,-0.00071
59.942,grasp,0.20865,0.01626,0.01494,0.21887,0.0231,0.01924,0.51661,0.0,25.4043,0,1,0.00273,nan,-0.00069
59.962,grasp,0.20875,0.01671,0.01512,0.21885,0.02302,0.01926,0.50659,0.0,25.2795,0,1,0.00269,nan,-0.00068
59.982,grasp,0.20884,0.01717,0.01529,0.21882,0.02294,0.01927,0.49657,0.0,25.1681,0,1,0.0027,nan,-0.00066
60.002,grasp,0.20892,0.01762,0.01546,0.2188,0.02286,0.01929,0.48656,0.0,25.0501,0,1,0.00271,nan,-0.00065
60.022,grasp,0.209,0.01807,0.01562,0.21877,0.02278,0.0193,0.47654,0.0,24.9336,0,1,0.00271,nan,-0.00063
60.042,grasp,0.20906,0.01853,0.01577,0.21874,0.02269,0.01932,0.46652,0.0,24.8084,0,1,0.00272,nan,-0.00062
60.062,grasp,0.20913,0.01898,0.01592,0.21871,0.02261,0.01933,0.45651,0.0,24.673,0,1,0.00277,nan,-0.00061
60.082,grasp,0.20918,0.01944,0.01605,0.21868,0.02253,0.01935,0.44649,0.0,24.534,0,1,0.0028,nan,-0.00059
60.102,grasp,0.20923,0.01989,0.01619,0.21865,0.02244,0.01936,0.43648,0.0,24.2492,0,2,0.00284,nan,-0.00058
60.122,grasp,0.20928,0.02038,0.01633,0.21861,0.02236,0.01938,0.42646,0.0,23.8545,0,2,0.00289,nan,-0.00056
60.142,grasp,0.20932,0.02087,0.01646,0.21858,0.02227,0.01939,0.41643,0.0,23.5086,0,2,0.00297,nan,-0.00055
60.162,grasp,0.20935,0.02134,0.01658,0.21854,0.02219,0.01941,0.40643,0.0,23.3248,0,2,0.0029,nan,-0.00053
60.182,grasp,0.20938,0.02182,0.01669,0.21851,0.0221,0.01942,0.3964,0.0,23.0678,0,2,0.00284,nan,-0.00052
60.202,grasp,0.20939,0.02226,0.01678,0.21847,0.02203,0.01944,0.38665,4.4145,25.7187,1,2,0.00327,nan,-0.0005
60.222,lift,0.20911,0.02217,0.01789,0.21812,0.02134,0.02057,0.37421,36.374,40.7956,4,2,0.14272,0.00059,0.00063
60.242,lift,0.2073,0.02146,0.0204,0.21622,0.02034,0.02322,0.363,50.7146,52.2006,5,2,0.13841,0.00091,0.00328
60.262,lift,0.20623,0.02105,0.02325,0.21517,0.01979,0.02615,0.35881,49.3319,52.4142,5,2,0.13144,0.00107,0.00621
60.282,lift,0.20507,0.02055,0.026,0.21396,0.01928,0.029,0.35814,46.5207,50.0367,5,2,0.13076,0.00111,0.00906
60.302,lift,0.20379,0.02011,0.02832,0.21272,0.01883,0.0315,0.35803,45.42,48.8098,5,2,0.15437,0.00119,0.01157
60.322,lift,0.20292,0.01969,0.03124,0.21176,0.01838,0.03458,0.35765,45.1546,48.2598,5,2,0.15222,0.00129,0.01464
60.342,lift,0.20215,0.01929,0.03383,0.21097,0.01796,0.03738,0.3569,45.2218,48.2739,5,2,0.14291,0.00143,0.01744
60.362,lift,0.20135,0.01889,0.0366,0.21006,0.01754,0.04026,0.35597,45.3694,48.2212,5,2,0.14866,0.00154,0.02032
60.382,lift,0.20065,0.01851,0.03907,0.20934,0.01714,0.04296,0.35497,45.4577,48.4056,5,2,0.14806,0.00172,0.02302
60.402,lift,0.2,0.01815,0.04182,0.20857,0.01675,0.04584,0.35398,45.8001,48.5447,6,2,0.15186,0.00186,0.0259
60.422,lift,0.19942,0.01779,0.04428,0.20798,0.01638,0.04856,0.35303,45.7944,48.703,6,2,0.14885,0.00207,0.02862
