label,delay_updates,noise_std_mm,seed,success_measured,reached_time_s,final_true_error_m,min_true_error_m
baseline,0,0.0,0,1,0.525,0.00048,0.00045
baseline,0,0.0,1,1,0.525,0.00048,0.00045
baseline,0,0.0,2,1,0.525,0.00048,0.00045
baseline,0,0.0,3,1,0.525,0.00048,0.00045
baseline,0,0.0,4,1,0.525,0.00048,0.00045
delay1,1,0.0,0,1,0.985,0.00124,0.00051
delay1,1,0.0,1,1,0.985,0.00124,0.00051
delay1,1,0.0,2,1,0.985,0.00124,0.00051
delay1,1,0.0,3,1,0.985,0.00124,0.00051
delay1,1,0.0,4,1,0.985,0.00124,0.00051
delay2,2,0.0,0,1,3.145,0.00343,0.00053
delay2,2,0.0,1,1,3.145,0.00343,0.00053
delay2,2,0.0,2,1,3.145,0.00343,0.00053
delay2,2,0.0,3,1,3.145,0.00343,0.00053
delay2,2,0.0,4,1,3.145,0.00343,0.00053
noise1mm,0,1.0,0,1,0.525,0.00179,0.00095
noise1mm,0,1.0,1,1,0.525,0.00073,0.00006
noise1mm,0,1.0,2,1,0.525,0.00217,0.00034
noise1mm,0,1.0,3,1,0.525,0.00094,0.00008
noise1mm,0,1.0,4,1,0.525,0.00046,0.00045
noise2mm,0,2.0,0,1,0.765,0.00147,0.00065
noise2mm,0,2.0,1,1,0.525,0.00065,0.00055
noise2mm,0,2.0,2,1,1.805,0.00375,0.00037
noise2mm,0,2.0,3,1,1.865,0.00330,0.00010
noise2mm,0,2.0,4,1,1.065,0.00151,0.00035
delay2_noise2mm,2,2.0,0,0,,0.00654,0.00060
delay2_noise2mm,2,2.0,1,0,,0.01119,0.00052
delay2_noise2mm,2,2.0,2,0,,0.00568,0.00064
delay2_noise2mm,2,2.0,3,0,,0.00263,0.00089
delay2_noise2mm,2,2.0,4,0,,0.00624,0.00067
